0.00	0.00	3
0.00	0.00	0
3.56	0.00	25
3.07	0.00	33
0.00	0.00	1
0.00	0.00	1
4.72	0.00	50
0.00	0.00	14
10.78	7.39	35
0.00	0.00	5
0.00	0.00	2
0.00	0.00	24
0.00	0.00	11
3.40	0.00	24
0.00	0.00	2
0.00	0.00	14
0.00	0.00	0
0.00	0.00	6
2.32	0.00	20
0.00	0.00	19
0.00	0.00	2
0.00	0.00	4
0.00	0.00	6
5.79	0.00	8
0.00	0.00	0
0.00	0.00	41
0.00	0.00	6
0.00	0.00	0
0.00	0.00	0
0.00	0.00	2
3.04	4.22	19
0.00	0.00	12
0.00	0.00	8
6.23	0.00	12
0.00	0.00	6
0.00	0.00	10
0.00	0.00	0
0.00	0.00	1
0.00	0.00	20
0.00	0.00	11
0.00	0.00	19
2.58	0.00	38
0.00	0.00	0
0.00	0.00	14
0.00	0.00	13
2.99	0.00	135
10.88	12.25	246
3.50	0.00	94
0.00	0.00	13
0.00	0.00	2
0.00	0.00	4
0.00	0.00	4
3.68	0.00	16
6.46	0.00	35
0.00	0.00	17
4.23	0.00	44
3.47	4.97	6
0.00	0.00	14
0.00	0.00	26
0.00	0.00	6
0.00	0.00	2
5.11	0.00	20
0.00	0.00	13
4.67	17.96	56
0.00	0.00	12
0.00	0.00	26
0.00	0.00	14
3.20	10.09	15
0.00	0.00	5
0.00	0.00	8
0.00	0.00	4
0.00	0.00	22
0.00	0.00	2
0.00	0.00	1
0.00	0.00	1
0.00	0.00	0
0.00	0.00	0
4.35	0.00	6
0.00	0.00	1
0.00	0.00	7
0.00	0.00	0
0.00	0.00	0
0.00	0.00	10
0.00	0.00	9
0.00	0.00	0
0.00	0.00	3
0.00	0.00	2
0.00	0.00	100
2.25	0.00	28
12.35	0.00	23
0.00	0.00	8
0.00	0.00	5
0.00	0.00	13
0.00	0.00	16
0.00	0.00	1
0.00	0.00	15
0.00	0.00	10
4.49	0.00	10
0.00	0.00	3
0.00	0.00	102
0.00	0.00	6
0.00	0.00	2
0.00	0.00	16
0.00	0.00	24
0.00	0.00	0
0.00	0.00	12
0.00	0.00	24
0.00	0.00	7
4.76	2.30	52
0.00	0.00	5
7.11	0.00	14
0.00	0.00	5
0.00	0.00	45
4.66	0.00	21
0.00	0.00	18
0.00	0.00	12
4.25	0.00	23
0.00	0.00	14
0.00	0.00	14
0.00	0.00	0
0.00	0.00	6
0.00	0.00	1
5.29	3.80	8
0.00	0.00	18
0.00	0.00	0
0.00	0.00	10
0.00	0.00	17
0.00	0.00	8
0.00	0.00	13
7.96	2.64	110
0.00	0.00	12
9.64	0.00	5
0.00	0.00	11
0.00	0.00	1
0.00	0.00	10
3.04	0.00	84
0.00	0.00	7
